HI,SK,KUR,DSK,DKUR,Surface
0.378306258,0.503985292,2.175108422,0.490308009,1.673232919,Mars_high_vn
0.609871712,0.21995903,1.849483612,-0.165984272,1.290729654,Mars_high_vn
0.45283406,0.659025068,2.510082814,0.360593546,1.969369187,Mars_high_vn
0.422339552,0.423402875,2.081200296,0.26390948,1.480107388,Mars_high_vn
0.475322413,0.299736357,1.961593024,-0.003278122,1.283463308,Mars_high_vn
0.516953729,0.224606456,1.869535012,0.001187162,1.211448454,Mars_high_vn
0.480944991,0.53607191,2.187756695,0.224866385,1.617008065,Mars_high_vn
0.334054181,0.609886157,2.294153873,0.799304825,2.189827987,Mars_high_vn
0.517760356,0.311541995,1.965389334,0.012817224,1.348450686,Mars_high_vn
0.642273787,0.146005384,1.826179464,-0.793187759,1.849092582,Mars_high_vn
0.630549862,0.262030456,1.916245688,-0.459666324,1.587724871,Mars_high_vn
0.511850199,0.427114187,2.074120284,0.054521979,1.451880581,Mars_high_vn
0.622529962,0.278484898,2.021285983,-0.600716569,1.86175981,Mars_high_vn
0.573609161,0.322285752,1.955917736,-0.24450466,1.452248924,Mars_high_vn
0.683128559,0.23442773,1.926978435,-0.886234651,2.333099104,Mars_high_vn
0.427545907,0.399162331,2.000476,0.196784866,1.383207913,Mars_high_vn
0.666885328,0.266763929,2.015176573,-0.881277993,2.52025661,Mars_high_vn
0.502703717,0.394220009,2.131477707,-0.075258528,1.504047399,Mars_high_vn
0.358321069,1.111601456,4.015459163,0.735569886,3.336470099,Mars_high_vn
0.594019601,0.175596105,1.858559204,-0.446010712,1.426267822,Mars_high_vn
0.723332416,0.096835641,1.815408858,-0.970765484,2.152538327,Mars_high_vn
0.487908533,0.550349212,2.544531493,-0.184781053,1.950232974,Mars_high_vn
0.636370258,0.13950905,1.815696454,-0.370538536,1.321231805,Mars_high_vn
0.596162555,0.218562795,1.884305587,-0.215369689,1.338524467,Mars_high_vn
0.651244263,0.178425787,1.808372421,-0.373564979,1.355867061,Mars_high_vn
0.5919911,0.311778678,1.932643436,-0.028060725,1.418305292,Mars_high_vn
0.62368852,0.148154029,1.857036158,-0.493600175,1.449211673,Mars_high_vn
0.327456458,0.384296451,1.983673608,0.673611589,1.749979819,Mars_high_vn
0.53153632,0.18296801,1.835387337,-0.146797521,1.201494174,Mars_high_vn
0.58609065,0.182379667,1.837403864,-0.429237523,1.397967455,Mars_high_vn
0.661839611,0.129056473,1.821570997,-0.774952723,1.787092845,Mars_high_vn
0.683036493,0.165347234,1.878636485,-0.678787548,1.78206951,Mars_high_vn
0.600270074,0.251797959,1.920890484,-0.453539425,1.53105738,Mars_high_vn
0.474998627,0.256636704,1.874418659,-0.145563871,1.238603146,Mars_high_vn
0.656939676,0.185963111,1.844231899,-0.766529795,1.897005797,Mars_high_vn
0.598266238,0.182627633,1.822163596,-0.146287374,1.219710445,Mars_high_vn
0.48718151,0.187442739,1.83403173,-0.011825265,1.161588213,Mars_high_vn
0.261298451,0.836387378,2.876843737,1.199486632,3.31229813,Mars_high_vn
0.577258418,0.517325268,2.222495633,0.10446222,1.892034656,Mars_high_vn
0.457995673,0.396572954,2.012298259,0.149404482,1.395881693,Mars_high_vn
0.584191942,0.291417657,1.928433661,-0.215075896,1.388509881,Mars_high_vn
0.469615596,0.261314154,1.860367991,0.282655895,1.318163217,Mars_high_vn
0.405572784,0.54157789,2.29268544,0.389503699,1.723350501,Mars_high_vn
0.405534414,0.68382562,2.640756847,0.340512723,1.950331787,Mars_high_vn
0.629821466,0.148810797,1.853819815,-0.251380931,1.251546799,Mars_high_vn
0.472032033,0.331961004,1.96891819,0.037034234,1.334596929,Mars_high_vn
0.411137781,0.69287758,2.454141013,0.634194752,2.116106972,Mars_high_vn
0.305613294,0.824745028,2.728837278,1.020588462,2.919865411,Mars_high_vn
0.559287107,0.329015011,1.94017748,-0.111823494,1.393228435,Mars_high_vn
0.444600837,0.404956318,2.01878966,0.367754608,1.525180562,Mars_high_vn
0.581307362,0.220087842,1.850244224,-0.148918727,1.264004447,Mars_high_vn
0.594292574,0.323725559,2.101348581,-0.638971652,2.068696534,Mars_high_vn
0.563517431,0.358717795,2.056708014,-0.226939176,1.616879327,Mars_high_vn
0.550190033,0.178477986,1.834028119,-0.047698807,1.185178531,Mars_high_vn
0.54901044,0.285989614,1.864821895,0.085038002,1.304785271,Mars_high_vn
0.411301303,0.521603967,2.268125398,0.185581707,1.590549749,Mars_high_vn
0.474290858,0.438250406,2.165124363,0.084145351,1.50136333,Mars_high_vn
0.555799468,0.256598706,1.868365966,-0.012964882,1.262158106,Mars_high_vn
0.419746891,0.429490513,2.014222206,0.430352971,1.524352774,Mars_high_vn
0.546277549,0.316298161,1.99144967,-0.036726152,1.375166918,Mars_high_vn
0.637020554,0.333437965,2.129800232,-0.739615158,2.414118562,Mars_high_vn
0.597296633,0.243557584,1.905038964,-0.398024746,1.530733238,Mars_high_vn
0.414510473,0.24908192,1.882860682,0.445594055,1.404415004,Mars_high_vn
0.507731203,0.262131578,1.929210716,0.148590445,1.324988443,Mars_high_vn
0.484362406,0.503994345,2.195873864,0.268596284,1.677572388,Mars_high_vn
0.554528864,0.183732269,1.824095216,-0.173285968,1.203049075,Mars_high_vn
0.430105598,0.573215721,2.322005416,0.23015876,1.674532983,Mars_high_vn
0.428429976,0.393277612,2.114783679,0.072654282,1.391281008,Mars_high_vn
0.470674123,0.361794572,1.934599813,0.301108339,1.429687425,Mars_high_vn
0.544114621,0.194278182,1.876928396,-0.340978815,1.33056743,Mars_high_vn
0.553442211,0.234608864,1.898794911,-0.153225868,1.274621003,Mars_high_vn
0.45948101,0.514009332,2.229350614,0.264300193,1.665794874,Mars_high_vn
0.45148955,0.521013786,2.387097808,-0.019319481,1.686204207,Mars_high_vn
0.422113383,0.272119176,1.825750442,0.669749558,1.711985704,Mars_high_vn
0.589769052,0.202956109,1.928880171,-0.629789408,1.709806599,Mars_high_vn
0.479739631,0.468490825,2.232871159,-0.036303232,1.573975217,Mars_high_vn
0.410124121,0.526229475,2.207480312,0.390505629,1.639026618,Mars_high_vn
0.576003458,0.351656672,2.076173701,-0.361183398,1.726551622,Mars_high_vn
0.643105066,0.113219496,1.822494581,-0.834234043,1.87806734,Mars_high_vn
0.405330308,0.533661921,2.36265985,0.206772761,1.623135368,Mars_high_vn
0.442872954,0.650482774,2.519974795,0.177432864,1.883625213,Mars_high_vn
0.4473565,0.316388623,1.941917485,0.178461504,1.321824353,Mars_high_vn
0.632178962,0.120060053,1.83486499,-0.953798417,2.138431086,Mars_low_crater
0.512921522,0.167355891,1.861648906,-0.176162429,1.21320246,Mars_low_crater
0.460744206,0.427122613,2.009980981,0.314817241,1.493631282,Mars_low_crater
0.555832861,0.200554162,1.852394705,-0.254707972,1.282709153,Mars_low_crater
0.519952808,0.291488586,1.938058172,-0.037429243,1.346720123,Mars_low_crater
0.445568695,0.337368929,2.045010185,0.02460602,1.336414313,Mars_low_crater
0.531422067,0.225539777,1.887007751,0.095321415,1.264518164,Mars_low_crater
0.595431723,0.140863397,1.840076329,-0.606098897,1.557587285,Mars_low_crater
0.563610884,0.245315841,1.915796723,-0.314028102,1.395779233,Mars_low_crater
0.526533874,0.218791807,1.914078697,-0.202681604,1.300569579,Mars_low_crater
